fecha,tasa,ipc,infla,einfla,pbi,vpbi,epbi
sep-03,2.75,58.43597618,1.976430694,2.0125,73.89616593,4.145443019,4.145443019
oct-03,2.75,58.46462858,1.299142279,2.058333333,77.63719004,4.833050609,4.833050609
nov-03,2.5,58.5626647,1.875868764,2.025,75.6137071,1.364765856,1.364765856
dic-03,2.5,58.89292931,2.483753673,2,78.05210556,2.291656428,2.291656428
ene-04,2.5,59.20944785,2.796657911,2.408333333,75.82063038,3.672826128,4.125760986
feb-04,2.5,59.85251275,3.428219756,2.458333333,74.02340826,4.246101175,4.032681754
mar-04,2.5,60.12810277,2.755868792,2.575,78.57656916,5.774850116,4.983496111
abr-04,2.5,60.11441156,2.784744385,2.633333333,84.04433631,4.249360432,4.751607095
may-04,2.5,60.32712323,3.181486757,2.616666667,86.47543493,3.951001325,4.445237066
jun-04,2.5,60.66725179,4.256499416,2.7,83.27348769,3.012658775,2.943441789
jul-04,2.5,60.78440548,4.613929555,2.891666667,82.09869293,3.660037341,4.050947449
ago-04,2.75,60.77860626,4.589875142,2.983333333,77.52680863,4.450878227,3.759618015
sep-04,2.75,60.78875003,4.026242051,2.75,77.43316025,4.786438212,4.63348862
oct-04,3,60.77431447,3.950569681,2.8,79.64728468,2.589087314,3.725060379
nov-04,3,60.94874171,4.07439965,2.5875,82.76668318,9.459893388,8.400377084
dic-04,3,60.9430397,3.481080682,2.5,85.70201165,9.801024626,9.201937082
ene-05,3,61.00407385,3.030979111,2.5,79.87860965,5.352077995,6.382480605
feb-05,3,60.86094588,1.684863469,2.533333333,80.05468737,8.147799792,7.353818641
mar-05,3,61.2566614,1.876923737,2.5,81.33433085,3.509648893,3.232194857
abr-05,3,61.32944884,2.021207975,2.5,87.02148876,3.542359411,5.235655598
may-05,3,61.40692661,1.789913603,2.520833333,92.10157611,6.506057101,6.387246294
jun-05,3,61.56888261,1.486190315,2.475,88.43434967,6.197485093,6.417808289
jul-05,3,61.63329061,1.396550858,2.458333333,87.26589182,6.293886913,6.694164165
ago-05,3,61.52259369,1.224094274,2.45,83.00258609,7.063076053,5.68888315
sep-05,3,61.46459108,1.111786388,2.375,82.12273285,6.056284655,5.546644988
oct-05,3,61.5535798,1.282228092,2.333333333,84.83173232,6.509258489,6.446024012
nov-05,3,61.59546375,1.061091714,2.416666667,90.55762676,9.413139793,9.27345315
dic-05,3.25,61.85368736,1.494260325,2.5,91.62305338,6.908871356,6.273138986
ene-06,3.5,62.16271385,1.899283001,2.5,85.55128672,7.101622193,7.859702001
feb-06,3.75,62.50353815,2.698926633,2.5,84.5440983,5.607930135,6.140519788
mar-06,4,62.78928097,2.501963921,2.5,91.1605285,12.08124238,11.14565457
abr-06,4.25,63.10951082,2.902458797,2.5,91.72754667,5.407926225,7.444812934
may-06,4.5,62.77632299,2.230035693,2.616666667,97.72590564,6.106659372,6.521800042
jun-06,4.5,62.69312099,1.825984708,2.55,95.05824545,7.4901843,7.731640387
jul-06,4.5,62.58626661,1.54620334,2.520833333,92.95858035,6.523383204,6.510030554
ago-06,4.5,62.67347849,1.870670153,2.45,91.58265361,10.33710867,8.837020946
sep-06,4.5,62.69063105,1.994709386,2.4,88.80812938,8.140738002,7.026379063
oct-06,4.5,62.71808291,1.89185277,2.425,92.22865944,8.719528546,7.435286936
nov-06,4.5,62.5411206,1.535270271,2.316666667,94.85275759,4.742980774,5.172688473
dic-06,4.5,62.55726357,1.137484663,2.15,99.50084282,8.598042906,6.3
ene-07,4.5,62.56316138,0.644192486,1.9625,89.83936242,5.012286622,6.6
feb-07,4.5,62.72549233,0.35510658,1.916666667,88.58002287,4.773750791,6.691666667
mar-07,4.5,62.9443011,0.24688947,1.85,96.65008443,6.021856199,6.9
abr-07,4.5,63.05647212,-0.084042325,1.9,96.58441959,5.294890241,6.8
may-07,4.5,63.36662902,0.940332273,1.941666667,104.7173368,7.154122616,6.895833333
jun-07,4.5,63.66425704,1.549031282,1.975,101.2438869,6.507211846,6.95
jul-07,4.75,63.96700938,2.206143371,2.058333333,102.5566797,10.32513542,6.916666667
ago-07,4.75,64.0545851,2.203653994,2.266666667,100.1697373,9.376321134,6.75
sep-07,5,64.44691984,2.801517168,2.225,100.2880597,12.92666606,6.825
oct-07,5,64.64929262,3.079191233,2.441666667,103.2134374,11.91037362,6.666666667
nov-07,5,64.72105797,3.485606507,2.7125,104.1700112,9.822860004,6.641666667
dic-07,5,65.01431228,3.92767933,2.85,111.9869619,12.54875708,6.85
ene-08,5.25,65.15867411,4.148627834,3.2625,98.38490335,9.51202312,6.945833333
feb-08,5.25,65.74967518,4.821297912,3.641666667,100.5757245,13.5422201,7.008333333
mar-08,5.25,66.43468861,5.545200202,3.775,104.0126948,7.617800257,7.0625
abr-08,5.5,66.53714427,5.519928462,4.166666667,110.1978642,14.09486609,7.416666667
may-08,5.5,66.78299315,5.391424772,3.833333333,112.0608024,7.012655119,7.325
jun-08,5.75,67.29695667,5.706026883,3.85,112.1774695,10.79925215,7.575
jul-08,6,67.67077236,5.790114336,4.329166667,112.3255039,9.525293043,7.533333333
ago-08,6.25,68.0703582,6.269298434,4.65,108.940605,8.756005427,7.716666667
sep-08,6.5,68.45645419,6.221452269,4.575,110.8140272,10.49573356,7.4875
oct-08,6.5,68.87618038,6.538180994,4.333333333,111.7444594,8.265417992,6.833333333
nov-08,6.5,69.08902398,6.748910089,4.104166667,110.7455877,6.31235078,6.441666667
dic-08,6.5,69.33789884,6.650207334,3.75,117.5801785,4.994524847,5.9
ene-09,6.5,69.41124384,6.526482903,3.504166667,102.8263975,4.514406203,5.375
feb-09,6.25,69.35933346,5.490001686,3.166666667,100.9321899,0.354424842,5.083333333
mar-09,6,69.60917902,4.778362751,2.9625,107.0773261,2.946401183,4.45
